epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,989.014,0.75283,0.60102,1.20722,0.86939,0.82278,0.90087,0.63432,1.15626,0.72694,1.70744,0.000148625,0.000148625,0.000148625
79,868.303,0.80264,0.6511,1.2378,0.86111,0.82665,0.87354,0.60866,1.17284,0.72275,1.70808,0.00028475,0.00028475,0.00028475
89,977.876,0.7363,0.56585,1.21067,0.86003,0.83014,0.90037,0.62254,1.16824,0.69925,1.70899,0.000161,0.000161,0.000161
80,879.462,0.8049,0.65569,1.25612,0.85515,0.82664,0.88226,0.59787,1.20449,0.76587,1.7576,0.000272375,0.000272375,0.000272375
81,890.299,0.8003,0.63252,1.24867,0.83279,0.78058,0.88062,0.61404,1.16176,0.81521,1.687,0.00026,0.00026,0.00026
98,1076.51,0.62037,0.38197,1.24128,0.83181,0.86006,0.88865,0.60998,1.18313,0.74055,1.73677,4.96E-05,4.96E-05,4.96E-05
99,1086.41,0.60509,0.36926,1.22507,0.82623,0.865,0.88073,0.60419,1.18045,0.72504,1.73555,3.73E-05,3.73E-05,3.73E-05
78,856.942,0.79116,0.65619,1.22743,0.81655,0.73507,0.8689,0.60197,1.18793,0.84246,1.73211,0.000297125,0.000297125,0.000297125
100,1096.81,0.59603,0.34926,1.21644,0.81339,0.84852,0.87597,0.60335,1.17454,0.73213,1.72548,2.49E-05,2.49E-05,2.49E-05
94,1033.22,0.63507,0.38293,1.24828,0.8133,0.82331,0.8839,0.61025,1.16683,0.80596,1.71302,9.91E-05,9.91E-05,9.91E-05
59,650.596,0.89362,0.77636,1.30212,0.80956,0.77327,0.82579,0.5635,1.18202,0.89459,1.70179,0.00053225,0.00053225,0.00053225
82,901.596,0.79314,0.62721,1.23891,0.80915,0.74881,0.87746,0.61135,1.17004,0.82731,1.70139,0.000247625,0.000247625,0.000247625
86,945.761,0.77408,0.60061,1.23702,0.80591,0.82973,0.88615,0.60863,1.18847,0.82212,1.73882,0.000198125,0.000198125,0.000198125
70,769.031,0.84668,0.72071,1.29078,0.80312,0.71176,0.84912,0.59649,1.17366,0.9023,1.69958,0.000396125,0.000396125,0.000396125
91,1002.07,0.69535,0.47491,1.31866,0.79909,0.83971,0.87637,0.61212,1.18299,0.79133,1.7389,0.00013625,0.00013625,0.00013625
85,934.682,0.77661,0.61065,1.23125,0.79778,0.81613,0.85869,0.59247,1.14667,0.80689,1.69629,0.0002105,0.0002105,0.0002105
76,834.742,0.79442,0.66314,1.25098,0.79737,0.76206,0.85952,0.59194,1.20254,0.8078,1.71881,0.000321875,0.000321875,0.000321875
97,1065.61,0.63123,0.37219,1.24222,0.79607,0.84796,0.87036,0.59317,1.18831,0.78245,1.76055,6.20E-05,6.20E-05,6.20E-05
96,1054.91,0.63472,0.38733,1.24166,0.79492,0.86429,0.86879,0.5956,1.17123,0.77828,1.73158,7.44E-05,7.44E-05,7.44E-05
68,748.638,0.85971,0.72099,1.27658,0.79454,0.80764,0.86418,0.60066,1.18602,0.78882,1.71573,0.000420875,0.000420875,0.000420875
84,923.665,0.7888,0.62024,1.23612,0.79339,0.85418,0.87833,0.61436,1.14689,0.73134,1.69419,0.000222875,0.000222875,0.000222875
73,801.696,0.83097,0.66049,1.26218,0.79225,0.70823,0.83731,0.58548,1.16182,0.84206,1.68553,0.000359,0.000359,0.000359
88,966.749,0.73718,0.59408,1.20289,0.78575,0.8551,0.88838,0.61147,1.19424,0.74166,1.72626,0.000173375,0.000173375,0.000173375
